battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range_tenge,price_category
3234,1,3.18,1,30,0,256,1.0,160,8,39,3659,2968,14839,19,9,31,0,1,1,543930,Flagship
1109,0,1.65,0,11,0,32,0.62,151,6,5,1473,1663,6012,15,6,15,0,1,1,158186,Budget
1868,0,2.55,0,15,1,128,0.74,140,8,19,1471,2356,7711,15,9,27,1,1,1,283033,Mid-range
1133,0,1.06,1,4,1,4,0.83,216,4,5,1175,1527,1079,11,7,15,1,1,1,88059,Ultra-budget
1460,0,2.06,1,10,0,32,0.78,152,6,13,1628,1579,4848,13,8,18,0,1,1,139347,Budget
1511,0,1.71,1,8,1,64,0.64,190,4,16,1701,1727,3160,14,7,16,1,1,1,155879,Budget
1745,0,1.71,0,7,0,128,0.86,162,6,8,1209,1506,3003,12,8,20,0,1,1,136090,Budget
1070,0,1.3,1,3,0,4,0.85,190,4,6,1135,748,2876,8,5,10,0,1,1,116231,Budget
2454,0,2.51,1,13,0,256,0.84,150,8,16,1949,2405,8499,15,8,26,1,1,1,325365,Mid-range
994,1,2.16,1,9,0,32,0.89,166,6,10,1611,1464,3701,15,7,15,0,1,1,271495,Mid-range
1204,0,1.89,1,10,0,32,0.69,157,6,14,1211,2026,5920,15,7,19,1,1,1,255216,Mid-range
2400,0,2.34,0,17,1,256,0.73,161,8,24,1325,1998,5328,16,8,24,1,1,1,313489,Mid-range
1130,1,2.38,1,7,1,32,0.68,168,6,11,1863,2400,4778,13,7,12,1,1,1,151693,Budget
944,0,1.27,0,0,1,16,0.76,190,4,7,1082,1885,1532,9,6,18,1,0,1,65565,Ultra-budget
2345,1,2.42,1,14,0,128,0.72,148,8,17,2017,2272,5435,15,9,21,0,1,1,290449,Mid-range
960,1,1.6,1,2,1,8,0.63,228,4,6,893,1342,1413,10,4,10,1,1,1,106417,Budget
1091,0,1.79,1,9,0,64,0.8,184,6,16,807,1584,4483,13,6,17,0,1,1,204469,Mid-range
1109,1,1.94,1,11,0,32,0.79,171,6,6,1826,1435,5296,14,8,16,0,1,1,190307,Budget
2416,1,2.68,0,30,0,512,0.86,157,8,22,3106,2704,11100,19,9,30,0,1,1,713702,Flagship
1689,0,2.13,0,10,0,128,0.74,152,8,12,1367,2458,8127,16,8,28,1,1,1,260869,Mid-range
2993,0,2.41,1,20,0,512,1.02,151,8,20,1954,2927,10429,17,10,24,1,1,1,748656,Flagship
644,0,1.35,0,5,1,32,0.82,224,2,1,1136,1770,2840,12,5,15,1,1,1,114252,Budget
2987,1,2.52,0,36,0,512,1.11,154,8,28,2286,5089,15055,17,10,31,0,1,1,743327,Flagship
1592,1,2.32,1,5,1,32,0.74,160,6,8,1381,1795,4655,12,8,19,1,1,1,163507,Budget
996,1,1.19,1,1,0,4,0.87,196,2,8,1097,1907,2300,11,7,9,0,1,1,148283,Budget
1375,1,2.18,0,10,0,64,0.74,162,4,7,1545,1861,5377,15,6,14,1,1,1,144025,Budget
1222,1,2.08,1,12,1,64,0.84,151,4,7,1402,1728,4756,15,6,19,1,1,1,272226,Mid-range
1207,0,1.97,0,6,0,64,0.82,190,4,15,1594,2338,3741,15,8,17,0,1,1,242499,Mid-range
1667,0,2.16,1,6,0,64,0.77,186,4,6,1045,1404,2776,14,6,19,0,1,1,182815,Budget
1031,0,1.71,1,9,1,32,0.6,164,6,5,1176,1888,5278,15,8,22,1,1,1,152873,Budget
865,1,1.69,1,3,0,4,0.85,214,2,0,788,1695,2377,12,5,14,1,1,0,53198,Ultra-budget
3009,0,2.93,1,26,0,512,0.94,159,8,30,1502,3680,15401,16,9,29,0,1,1,686438,Flagship
792,0,1.52,0,5,0,8,0.6,217,4,0,1112,1438,1721,11,5,10,0,1,1,140325,Budget
2277,0,2.68,0,24,0,512,1.04,160,8,21,1536,4368,15471,19,11,24,0,1,1,557110,Flagship
2954,0,2.89,0,25,0,256,0.91,149,8,32,3114,3096,14930,18,9,32,0,1,1,743632,Flagship
2003,0,2.8,1,26,1,512,1.01,145,8,30,3907,3687,10367,16,11,23,1,1,1,465409,High-end
1300,1,1.75,1,10,1,128,0.83,172,6,10,860,2408,3481,14,7,19,1,1,1,169315,Budget
749,0,1.74,0,1,1,4,0.51,199,2,6,1104,1020,863,11,7,9,1,1,1,87521,Ultra-budget
2287,1,2.76,0,21,0,128,0.88,149,8,20,1754,3397,7034,15,9,25,0,1,1,434753,High-end
1035,0,2.35,0,10,0,128,0.89,168,4,11,1314,2203,2501,13,6,22,0,1,1,247270,Mid-range
1165,0,1.4,0,5,0,32,0.57,229,4,4,681,694,2461,9,5,18,0,1,1,46284,Ultra-budget
2748,1,2.71,0,31,1,512,1.08,137,8,37,3193,4778,10501,19,10,30,1,1,1,728617,Flagship
1021,0,1.5,1,1,0,16,0.76,185,2,4,1074,886,624,12,5,18,0,1,0,51777,Ultra-budget
1866,1,2.56,1,14,0,128,0.98,147,8,17,2068,2899,7335,15,8,24,1,1,1,417132,High-end
1919,0,2.07,1,25,0,256,0.88,165,8,21,1291,3404,4726,15,9,22,0,1,1,343514,Mid-range
2226,0,2.44,1,12,0,256,0.93,153,8,23,1863,2367,6344,16,9,21,1,1,1,312728,Mid-range
1629,0,1.91,1,6,1,128,0.79,158,4,14,980,1496,4092,13,6,22,1,1,1,170649,Budget
2237,1,2.5,1,23,0,128,0.92,151,8,12,2128,1981,7223,17,9,22,0,1,1,285546,Mid-range
1583,0,2.32,0,6,0,32,0.71,158,4,11,1319,2408,3299,14,8,20,0,1,1,221358,Mid-range
1197,0,1.47,1,0,0,8,0.67,182,4,2,1249,1239,2340,9,5,12,0,1,1,43651,Ultra-budget
1084,1,1.62,1,5,0,64,0.68,177,4,12,1533,2282,4609,12,8,14,0,1,1,206931,Mid-range
797,1,1.51,0,4,1,8,0.64,188,2,7,1201,1895,2384,11,4,12,1,1,1,94889,Ultra-budget
1012,0,1.0,1,4,0,4,0.54,194,2,2,598,1889,1288,12,5,12,0,1,1,92071,Ultra-budget
2451,1,2.31,0,16,0,128,0.72,141,8,14,1121,3301,8841,16,9,28,0,1,1,405588,High-end
1798,1,2.42,0,20,0,128,0.78,168,8,17,1690,2688,8133,15,9,25,0,1,1,419121,High-end
2497,1,2.9,0,37,0,256,1.19,135,8,39,1553,4586,12468,18,9,31,1,1,1,516410,Flagship
1154,1,1.26,1,5,0,16,0.5,205,2,8,945,896,1771,8,5,15,0,1,1,94571,Ultra-budget
1540,1,2.37,0,11,1,128,0.83,187,6,7,1896,1941,4295,15,6,17,1,1,1,214754,Mid-range
1600,0,1.94,1,5,1,128,0.82,153,4,14,1578,2213,4227,12,7,18,1,1,1,169118,Budget
2948,0,2.78,0,27,0,512,1.15,136,8,31,3976,3226,15699,17,11,29,0,1,1,602861,Flagship
2320,0,2.52,1,20,1,128,0.73,140,8,17,1748,3776,8749,16,9,25,1,1,1,483236,High-end
880,0,1.69,1,0,0,4,0.63,194,2,2,937,838,2791,8,6,14,0,1,1,94164,Ultra-budget
1449,1,1.74,0,12,0,64,0.61,182,6,10,1852,2078,4295,12,7,18,1,1,1,209170,Mid-range
921,1,1.7,1,1,0,8,0.82,184,4,4,1177,1401,1371,10,4,8,0,1,1,132169,Budget
2066,0,2.41,1,40,0,512,0.99,133,8,33,3255,3913,14850,19,10,35,0,1,1,745725,Flagship
1193,1,1.73,0,2,0,32,0.6,228,2,4,1072,1415,2782,9,7,15,0,1,1,120107,Budget
1241,1,1.88,0,6,0,64,0.61,180,4,11,1614,1733,3788,15,6,20,0,1,1,145799,Budget
2218,0,2.17,1,22,0,256,0.99,166,8,23,1592,2025,8130,17,9,25,0,1,1,457203,High-end
651,0,1.3,0,3,1,16,0.59,185,2,3,831,873,547,10,7,13,1,1,1,77345,Ultra-budget
1024,0,1.64,1,9,0,128,0.68,162,6,13,1624,1700,4499,13,6,20,0,1,1,141351,Budget
886,0,1.27,0,4,0,32,0.52,218,4,2,1029,1283,848,11,4,17,0,1,1,100938,Budget
622,0,1.54,1,0,0,32,0.83,221,2,8,1243,1677,2297,11,4,8,1,0,1,64547,Ultra-budget
1653,1,2.2,1,5,0,32,0.82,162,6,11,1864,2542,2118,15,7,15,0,1,1,154270,Budget
1405,0,1.61,0,6,0,64,0.77,179,4,9,1816,2492,3496,13,8,21,0,1,1,129078,Budget
1849,1,2.66,0,15,0,256,0.88,168,8,18,1116,3151,8051,15,9,20,1,1,1,305502,Mid-range
1070,0,1.89,0,10,0,128,0.64,182,6,11,1323,2251,2437,13,6,17,0,1,1,236091,Mid-range
1935,0,2.32,1,23,0,256,0.78,166,8,25,1676,2602,4644,17,8,24,0,1,1,393548,High-end
1810,1,2.12,1,12,1,128,0.66,172,6,6,1055,1992,4154,15,7,18,1,1,1,239719,Mid-range
2432,0,2.88,0,39,1,256,0.89,138,8,38,3791,4403,10342,19,9,22,1,1,1,495024,High-end
2548,1,2.18,0,10,0,256,0.72,152,8,13,1397,3559,6175,16,9,26,0,1,1,303524,Mid-range
2416,0,2.03,1,17,1,256,0.81,155,8,12,1667,2831,4453,16,8,19,1,1,1,391297,High-end
1183,0,1.93,1,8,1,128,0.76,190,4,14,927,2183,3169,12,8,16,1,1,1,287500,Mid-range
2764,1,2.42,1,34,0,512,1.1,156,8,39,2946,3902,14025,19,9,31,0,1,1,576498,Flagship
1581,1,1.79,1,10,0,64,0.81,185,4,13,1489,2482,5017,14,8,14,0,1,1,261335,Mid-range
1619,0,1.84,1,8,0,64,0.79,167,6,5,873,1535,2120,14,6,12,0,1,1,147097,Budget
981,0,1.71,0,0,0,32,0.64,197,4,2,1268,1764,2109,11,5,18,0,1,1,97833,Ultra-budget
1229,1,1.72,0,11,1,32,0.78,170,4,9,1865,2459,6068,12,8,19,1,1,1,140823,Budget
1244,1,2.15,0,11,1,64,0.77,190,6,5,1079,2514,5603,15,6,15,1,1,1,202106,Mid-range
1227,0,2.14,1,9,0,64,0.85,170,4,13,895,1628,5089,15,6,21,1,1,1,190107,Budget
1070,1,1.63,0,5,0,8,0.76,200,4,5,1044,1386,2487,12,4,11,0,1,1,87917,Ultra-budget
805,1,1.4,0,0,0,4,0.85,205,2,2,1043,1507,3046,10,7,14,0,1,1,96825,Ultra-budget
1087,1,1.48,1,0,0,4,0.51,229,2,5,480,1170,2432,12,6,18,0,1,1,133642,Budget
1104,1,2.14,1,9,1,64,0.7,176,4,12,1678,1922,2069,12,6,17,1,1,1,267082,Mid-range
1079,0,1.49,1,4,0,16,0.52,211,4,2,1194,1739,1640,10,4,13,0,1,1,65454,Ultra-budget
1065,1,1.45,1,0,1,8,0.88,223,4,7,885,1343,1135,10,4,12,1,1,0,59666,Ultra-budget
1054,1,1.4,1,5,1,32,0.78,207,2,0,1052,1850,1197,10,4,17,1,1,1,70091,Ultra-budget
1447,1,2.15,0,9,0,128,0.66,181,4,11,1006,2526,4106,13,6,21,0,1,1,301744,Mid-range
1163,0,2.2,1,8,0,128,0.69,179,6,9,1686,2543,3667,15,8,14,0,1,1,244171,Mid-range
663,0,1.54,0,2,1,8,0.67,183,2,5,781,1242,2960,10,4,13,1,1,1,85182,Ultra-budget
722,0,1.32,0,2,1,16,0.52,186,2,4,799,1313,1396,11,5,11,1,1,1,137922,Budget
2221,1,3.13,0,38,0,256,1.02,160,8,35,3527,3127,12466,16,10,21,1,1,1,628897,Flagship
1058,1,1.32,0,1,1,32,0.61,225,2,0,1147,1669,3013,11,5,16,1,0,0,42536,Ultra-budget
3121,0,2.43,1,35,0,256,1.01,155,8,34,1598,3376,10441,19,9,28,0,1,1,573855,Flagship
2328,1,2.04,1,14,0,256,0.76,170,8,18,1504,2357,7125,16,8,21,0,1,1,329843,Mid-range
1107,0,1.71,1,11,0,32,0.72,158,6,16,1340,2539,4298,15,8,18,0,1,1,189576,Budget
1535,1,1.91,1,7,0,128,0.67,156,4,9,1002,1757,2963,14,8,18,0,1,1,163691,Budget
1704,1,1.97,1,9,0,64,0.89,155,6,10,1460,2371,4208,13,7,15,0,1,1,261981,Mid-range
797,0,1.18,0,1,1,4,0.84,220,4,4,796,1245,1698,9,5,8,1,0,0,41772,Ultra-budget
570,0,1.74,1,2,0,16,0.56,224,2,6,1236,1464,2212,8,6,10,1,1,1,116785,Budget
1680,1,2.58,0,18,1,128,0.77,145,8,19,2136,3806,5683,17,9,26,1,1,1,494943,High-end
2234,0,2.42,0,17,1,256,0.82,168,8,25,1740,3443,6791,16,8,22,1,1,1,286016,Mid-range
2414,1,2.01,1,24,0,256,0.88,148,8,21,1501,2125,6645,17,9,25,0,1,1,479140,High-end
2816,0,2.63,1,32,0,256,0.9,143,8,23,2401,4551,11961,18,10,30,0,1,1,624240,Flagship
1076,1,1.3,1,3,0,16,0.88,224,4,3,772,1422,892,11,6,12,0,1,1,110173,Budget
1229,1,2.13,1,6,0,64,0.69,155,6,13,883,2269,5955,14,8,14,0,1,1,169866,Budget
1831,1,2.03,1,20,1,256,0.81,158,8,23,1616,3455,6909,15,9,27,1,1,1,335534,Mid-range
733,1,1.18,0,2,0,4,0.7,213,4,2,1180,1673,2624,11,6,10,0,1,1,122322,Budget
1222,0,2.2,0,12,0,32,0.79,168,6,15,1788,1675,3725,12,8,14,0,1,1,256867,Mid-range
2068,0,2.69,1,29,0,512,0.89,138,8,22,3790,4723,13478,19,11,29,0,1,1,492224,High-end
2230,0,2.49,1,20,0,256,1.0,153,8,15,1201,2827,8227,16,9,27,0,1,1,430474,High-end
2239,1,2.26,1,16,1,128,0.86,152,8,20,1571,2020,8571,16,9,28,1,1,1,366469,High-end
1787,1,2.14,1,5,0,32,0.78,157,6,5,1069,2105,2807,12,8,16,1,1,1,245265,Mid-range
2027,1,2.16,0,23,1,256,0.8,146,8,23,1971,3605,5464,16,9,21,1,1,1,455477,High-end
1071,1,1.36,1,4,0,16,0.75,225,4,1,627,996,2570,8,7,14,0,1,1,74963,Ultra-budget
710,0,1.77,1,5,0,8,0.71,193,4,7,1251,1331,2200,9,7,9,0,0,1,62357,Ultra-budget
1152,0,2.06,0,11,0,128,0.83,172,4,14,1620,1822,5035,12,7,14,0,1,1,169064,Budget
1745,1,2.0,0,14,0,256,0.8,153,8,17,1174,3583,4192,15,9,20,1,1,1,291565,Mid-range
732,0,1.37,1,0,1,16,0.78,220,4,3,1129,1689,1236,8,4,17,1,1,1,108853,Budget
2108,0,2.92,1,31,1,256,1.07,155,8,28,2292,2688,14399,19,10,28,1,1,1,731895,Flagship
2167,1,3.17,0,29,0,512,1.05,149,8,35,3639,2878,11727,19,11,22,1,1,1,522712,Flagship
1593,0,2.4,0,6,1,64,0.8,157,6,6,1751,1443,4854,13,7,15,1,1,1,210320,Mid-range
2697,0,2.63,1,29,0,256,1.18,137,8,20,1543,2583,16147,19,10,35,0,1,1,774330,Flagship
2462,0,2.09,1,16,0,128,0.93,168,8,12,1988,1962,7419,17,9,27,0,1,1,311371,Mid-range
1807,1,2.31,0,9,0,128,0.63,186,4,10,1658,1633,2522,12,7,21,0,1,1,235358,Mid-range
1516,0,1.69,1,8,0,32,0.9,175,4,7,942,2191,2360,14,7,19,0,1,1,122144,Budget
812,1,1.66,0,2,0,4,0.88,220,2,8,766,1037,1487,9,4,17,0,1,1,76607,Ultra-budget
835,0,1.76,1,3,1,16,0.85,210,4,1,1113,1177,2307,10,6,17,1,1,1,91648,Ultra-budget
2312,1,2.58,0,23,0,256,0.79,165,8,16,1326,2352,5141,15,9,24,0,1,1,341224,Mid-range
1553,1,2.17,1,8,1,32,0.9,179,4,14,1227,2253,3760,12,6,17,1,1,1,265114,Mid-range
727,1,1.44,1,4,0,4,0.58,197,4,4,983,1322,1734,11,5,12,1,1,1,73474,Ultra-budget
2422,0,2.97,0,29,1,256,1.1,146,8,27,1647,3207,9255,18,11,32,1,1,1,541174,Flagship
2351,1,2.84,1,21,0,256,1.05,134,8,34,2363,4299,8375,16,11,26,0,1,1,463104,High-end
1625,0,2.44,1,22,0,128,0.72,154,8,14,1434,3307,6331,16,8,21,0,1,1,459631,High-end
1378,0,1.8,0,10,0,64,0.88,170,4,8,1782,1554,3760,13,8,21,0,1,1,290678,Mid-range
2811,1,3.05,1,21,0,512,1.09,149,8,33,2944,4281,12955,17,9,32,0,1,1,496684,High-end
1697,1,1.85,1,9,1,128,0.68,170,4,7,818,2466,4556,14,7,14,1,1,1,190207,Budget
1429,1,2.32,1,9,0,64,0.67,189,6,15,1301,1959,3245,12,7,13,0,1,1,173712,Budget
821,1,1.01,1,1,0,32,0.81,181,4,8,961,1377,986,11,6,10,0,1,1,96456,Ultra-budget
905,1,1.27,0,0,0,8,0.55,183,4,7,827,1319,1730,9,7,8,0,1,1,145048,Budget
1932,1,2.65,1,10,0,128,0.98,153,8,15,1360,2240,7426,15,9,22,0,1,1,434809,High-end
3067,0,2.42,0,29,0,512,0.93,160,8,29,3852,4861,13434,17,11,21,0,1,1,566704,Flagship
944,1,1.7,0,2,0,4,0.74,185,4,0,643,1756,1359,11,4,13,1,1,1,126726,Budget
1137,1,1.6,1,3,0,8,0.86,206,2,1,884,1382,1973,12,6,18,1,1,1,87781,Ultra-budget
1029,0,1.74,0,10,0,32,0.78,181,4,9,1055,2054,2436,15,8,16,1,1,1,290805,Mid-range
906,0,1.02,1,5,1,16,0.58,224,4,0,747,1386,1297,12,6,12,1,0,1,36847,Ultra-budget
1191,0,1.34,1,3,0,16,0.87,229,2,4,489,1762,2392,12,5,16,0,1,1,95342,Ultra-budget
2579,0,2.58,1,31,0,256,1.16,144,8,36,2791,2941,14468,16,10,21,0,1,1,583817,Flagship
1695,0,2.69,0,18,1,128,0.76,148,8,25,2106,3531,7134,17,8,22,1,1,1,280287,Mid-range
1810,1,2.14,1,9,1,32,0.77,161,6,10,944,1723,4937,12,8,16,1,1,1,181619,Budget
2009,1,2.18,1,12,0,256,0.95,151,8,14,1600,2599,5291,16,8,20,0,1,1,412807,High-end
2398,1,2.16,0,11,1,128,0.89,153,8,24,1662,2262,6436,15,9,24,1,1,1,306588,Mid-range
964,0,1.51,0,4,0,8,0.66,214,4,2,881,1860,2523,10,4,9,0,0,0,57662,Ultra-budget
1479,1,1.71,0,9,1,32,0.75,175,4,13,1006,1355,4216,15,6,22,1,1,1,299420,Mid-range
3210,1,2.89,1,40,0,256,0.85,154,8,24,1639,4251,11320,19,9,21,0,1,1,465697,High-end
2343,0,2.26,0,10,1,256,0.72,147,8,18,2011,3700,8419,15,8,25,1,1,1,333977,Mid-range
1491,0,2.35,1,6,0,128,0.78,161,6,7,1141,1742,5259,12,7,20,0,1,1,144504,Budget
1664,0,1.84,0,6,0,32,0.83,151,4,5,804,2198,3023,14,7,14,0,1,1,135781,Budget
1730,1,2.29,1,17,1,128,0.78,165,8,13,1914,2011,8871,16,8,27,1,1,1,421925,High-end
1467,1,2.03,1,12,0,32,0.68,185,6,16,1100,2520,5563,13,6,14,0,1,1,179011,Budget
1167,0,2.09,0,12,1,32,0.8,160,6,14,1238,2012,3450,12,7,16,1,1,1,192139,Budget
1971,1,2.73,0,11,0,256,0.85,153,8,18,1991,2893,8227,15,9,25,0,1,1,391204,High-end
2735,0,3.14,1,29,0,512,1.01,153,8,23,2260,3446,12022,16,10,29,0,1,1,608058,Flagship
2796,1,2.95,0,33,1,512,1.05,157,8,27,2058,4313,13115,18,10,26,1,1,1,586392,Flagship
2924,1,2.58,0,38,1,512,1.19,158,8,34,3505,3120,14039,18,9,24,1,1,1,733189,Flagship
1701,1,2.19,1,25,1,256,0.94,164,8,16,1929,2211,7499,15,9,22,1,1,1,333929,Mid-range
1590,1,1.85,0,12,1,64,0.85,173,6,10,1766,1776,3588,12,6,14,1,1,1,157618,Budget
2366,0,2.38,0,15,1,128,0.87,162,8,22,1516,2141,9135,17,9,27,1,1,1,264944,Mid-range
1707,0,2.17,0,12,0,128,0.66,190,4,13,1868,1502,5154,13,7,15,0,1,1,263624,Mid-range
3128,1,2.79,0,24,0,256,0.86,141,8,28,1603,4852,15148,17,11,25,0,1,1,710412,Flagship
1462,1,1.83,0,9,1,64,0.9,161,4,8,1295,2201,5415,13,6,18,1,1,1,258504,Mid-range
1224,1,2.33,1,8,1,128,0.82,174,6,9,1024,1523,3244,13,8,13,1,1,1,181017,Budget
2056,0,3.0,0,37,0,256,1.15,160,8,29,1760,3091,13861,19,10,27,0,1,1,799849,Flagship
1308,0,1.66,1,11,1,64,0.89,154,6,10,1091,1575,3796,15,7,20,1,1,1,129652,Budget
3061,0,2.84,0,23,1,256,0.82,157,8,34,3456,2687,12568,18,11,33,1,1,1,516679,Flagship
629,0,1.41,1,5,0,32,0.59,187,2,7,1114,1453,1561,12,7,14,0,1,1,97250,Ultra-budget
1983,0,2.15,1,22,0,256,0.96,160,8,23,1326,2679,6301,16,8,20,1,1,1,301586,Mid-range
1606,1,2.01,0,16,1,256,0.71,161,8,17,2160,3276,6235,15,8,20,1,1,1,277140,Mid-range
3333,1,2.47,1,22,0,512,1.05,160,8,26,3553,3835,16369,17,9,24,0,1,1,715863,Flagship
1005,0,1.2,1,5,0,32,0.66,188,2,4,916,1728,2745,10,4,11,1,1,1,51461,Ultra-budget
2470,1,2.64,0,13,1,256,0.75,141,8,17,1877,3795,7326,15,9,19,1,1,1,345065,Mid-range
1795,1,2.47,0,11,1,256,0.85,145,8,24,1471,3171,5619,16,9,27,1,1,1,369821,High-end
993,1,1.42,0,1,0,32,0.51,200,4,2,646,1889,1480,9,4,11,0,1,1,88326,Ultra-budget
2054,1,2.85,0,34,0,256,1.15,141,8,26,3001,3054,9912,16,10,30,0,1,1,742541,Flagship
1425,1,2.37,1,7,0,128,0.67,175,4,6,1570,1892,2987,13,6,13,1,1,1,160632,Budget
2019,1,2.84,1,34,0,256,1.11,152,8,27,1780,3973,13707,17,10,25,0,1,1,477718,High-end
1829,0,2.3,1,9,0,128,0.87,184,6,14,1542,2261,5469,13,7,22,0,1,1,150023,Budget
1009,0,2.22,1,9,0,128,0.66,181,4,15,1233,1522,4695,12,7,22,0,1,1,113764,Budget
1086,0,2.09,0,7,0,128,0.83,167,4,5,1098,1720,3927,15,7,21,0,1,1,305046,Mid-range
2803,1,2.61,1,23,1,256,0.96,134,8,34,3362,3232,10888,18,10,29,1,1,1,549952,Flagship
3143,0,2.4,1,35,0,512,1.06,159,8,25,2450,3391,15230,19,11,30,0,1,1,733542,Flagship
2013,1,2.17,1,15,0,128,0.94,160,8,23,1541,2661,7303,16,9,28,0,1,1,424974,High-end
608,1,1.45,0,0,0,16,0.61,229,2,5,724,991,1380,9,5,16,0,1,1,144613,Budget
3363,1,2.42,1,32,0,256,1.12,141,8,26,3343,4688,10790,16,11,30,0,1,1,458126,High-end
2017,1,2.25,1,17,0,128,0.72,144,8,20,2074,3835,8296,15,9,21,0,1,1,262173,Mid-range
1369,0,2.14,1,8,0,32,0.76,182,4,8,785,1556,5042,14,6,21,1,1,1,176260,Budget
1738,0,2.2,0,10,1,128,0.7,155,8,17,1366,1955,6569,17,8,26,1,1,1,279122,Mid-range
1100,0,1.78,1,0,1,4,0.74,218,4,3,688,755,1227,10,5,17,1,0,1,69248,Ultra-budget
1414,0,2.1,1,12,0,64,0.8,163,6,14,1539,1867,4073,15,7,19,0,1,1,227003,Mid-range
2218,0,2.33,0,17,0,128,0.76,152,8,19,1525,2309,7039,17,8,23,0,1,1,422259,High-end
2901,0,2.95,1,20,0,256,0.91,148,8,32,1761,2689,13569,18,11,22,1,1,1,718491,Flagship
1017,1,1.6,1,3,0,4,0.79,220,2,4,1055,932,760,12,7,15,0,1,1,90740,Ultra-budget
2282,0,2.28,1,11,0,256,0.71,152,8,15,1893,3792,8386,15,9,20,0,1,1,353499,High-end
1232,1,2.3,1,12,0,64,0.61,185,6,13,1097,2144,4291,13,7,17,0,1,1,186643,Budget
1596,1,2.0,0,10,1,32,0.87,182,4,14,920,2119,2364,13,8,21,1,1,1,211380,Mid-range
774,0,1.49,0,2,1,16,0.67,207,2,8,782,749,872,8,4,10,1,0,1,42939,Ultra-budget
1610,1,2.22,1,8,0,32,0.67,168,4,11,1717,2155,2882,15,6,16,0,1,1,130273,Budget
1975,1,2.18,1,23,0,256,0.76,164,8,25,1897,3488,6210,17,9,26,0,1,1,410234,High-end
1741,1,2.12,1,8,0,64,0.89,179,4,9,1480,1303,3621,13,7,13,0,1,1,185167,Budget
2333,0,2.62,1,39,1,512,1.08,154,8,23,1583,3479,16168,19,10,25,1,1,1,576756,Flagship
1080,0,1.76,1,1,0,4,0.63,200,4,3,882,1009,1927,12,7,17,1,1,1,112705,Budget
3126,1,2.83,0,22,1,512,1.11,156,8,36,1471,4418,10629,19,9,26,1,1,1,512570,Flagship
2905,1,2.63,0,25,1,256,1.06,157,8,35,2255,2575,15559,16,9,35,1,1,1,546331,Flagship
1952,0,2.72,0,23,0,256,0.85,168,8,15,1843,2940,4367,15,8,19,0,1,1,341453,Mid-range
1512,1,1.89,1,5,1,64,0.66,156,4,13,1003,2464,3733,12,7,13,1,1,1,120979,Budget
1708,1,2.22,0,7,1,64,0.84,167,6,15,1520,1788,3204,14,6,16,1,1,1,286211,Mid-range
2301,0,2.6,1,14,0,128,0.84,153,8,23,1212,3078,5963,15,9,25,0,1,1,405857,High-end
1151,1,1.38,1,3,0,8,0.79,213,4,7,567,1407,646,11,6,8,0,1,1,116858,Budget
1672,0,2.08,0,12,0,32,0.8,175,4,11,1586,2100,3674,14,7,16,0,1,1,147766,Budget
2155,1,2.43,0,19,0,128,0.71,169,8,22,1569,2773,5305,15,9,21,0,1,1,462953,High-end
1466,0,2.11,1,6,0,64,0.83,159,6,14,1156,1381,3182,12,6,21,0,1,1,220564,Mid-range
1975,0,2.63,1,34,0,512,1.08,154,8,26,2367,4640,8905,19,9,27,0,1,1,578391,Flagship
2281,1,2.78,0,15,0,256,0.71,141,8,15,1910,2495,8371,17,9,19,0,1,1,319910,Mid-range
1200,0,1.79,0,0,0,4,0.78,209,2,3,1160,1511,2121,11,5,16,0,1,1,134933,Budget
2380,0,2.63,1,24,0,256,0.87,158,8,16,1700,3201,8042,15,9,25,0,1,1,289301,Mid-range
2112,1,2.2,1,25,0,128,0.77,157,8,20,1687,3022,5169,16,9,24,0,1,1,354033,High-end
2749,1,2.57,0,26,1,512,0.81,137,8,34,3062,4232,14300,16,11,27,1,1,1,642369,Flagship
973,1,1.61,0,0,0,16,0.89,184,4,7,1148,1370,1119,11,5,18,1,1,1,97003,Ultra-budget
2504,0,2.53,0,18,1,256,0.96,164,8,15,2051,2353,7294,15,8,22,1,1,1,295898,Mid-range
1606,1,2.39,0,7,1,128,0.69,190,4,16,855,1567,5636,13,7,22,1,1,1,232415,Mid-range
2487,1,2.77,0,40,0,512,1.0,131,8,39,1787,3143,11254,17,10,27,0,1,1,721337,Flagship
2537,0,2.45,0,23,1,256,0.9,147,8,21,1671,2185,6530,16,8,28,1,1,1,328017,Mid-range
629,0,1.35,1,4,0,16,0.77,199,2,3,1035,1550,2336,11,7,13,0,0,1,72194,Ultra-budget
2902,0,3.14,1,37,0,256,1.09,133,8,38,2173,4181,15606,18,10,33,0,1,1,631199,Flagship
3450,1,2.46,0,22,1,512,0.96,151,8,38,3452,2760,13007,16,10,35,1,1,1,469286,High-end
1804,1,2.24,1,16,0,256,0.84,164,8,25,1446,3014,5772,16,9,20,0,1,1,312807,Mid-range
1867,1,2.58,1,16,0,256,0.83,167,8,18,1080,3767,4357,17,9,19,0,1,1,257105,Mid-range
2157,1,2.39,1,15,1,256,0.9,151,8,18,1333,3677,9187,17,9,28,1,1,1,398740,High-end
2405,1,2.42,0,18,1,256,0.87,152,8,17,1843,2827,4960,16,8,19,1,1,1,258313,Mid-range
